Item,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
96--MISCELLANEOUS MANUFACTURED ARTICLES,21289995,23457747,23952053,27098087,23572528,34937553,38471903,36704615,54778354,81337124,68832933
15--ANIMAL OR VEGETABLE FATS; OILS ETC. & WAXES,173528869,191627548,73226645,448967680,194699809,354142410,190668116,179481686,57785560,145505485,64957920
36--EXPLOSIVES; PYROTECHNICS; MATCHES; PYRO ALLOYS ETC,17750613,23265127,32766374,43642272,47375429,56535065,74226785,84755267,93889089,89006801,63443804
43--FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,46892443,125891991,95337429,154834875,149181931,140391193,189653816,72993735,128347980,80196304,58402848
79--ZINC AND ARTICLES THEREOF,106203177,101989072,51358162,89436164,89110339,97820599,90263716,149333758,58120559,71580201,52486995
07--EDIBLE VEGETABLES & CERTAIN ROOTS & TUBERS,20507479,16746801,19112447,33371443,16733738,24386643,43101397,40919926,49126621,40122600,47574169
62--APPAREL ARTICLES AND ACCESSORIES; NOT KNIT ETC.,10650266,12553352,11125472,8952306,14841403,27615809,23499978,26613536,28809635,29896453,45125109
61--APPAREL ARTICLES AND ACCESSORIES; KNIT OR CROCHET,13754994,14690649,15812759,14786981,18481397,20152629,22451344,27831499,40293412,36046042,41069619
16--EDIBLE PREPARATIONS OF MEAT; FISH; CRUSTACEANS ETC,63051406,25378221,33850423,58922068,38535898,80925106,111735357,87358111,77401110,54970859,40476352
86--RAILWAY OR TRAMWAY STOCK ETC; TRAFFIC SIGNAL EQUIP,84124296,225243555,205454474,253386423,108115936,118687685,96842289,89689683,66445934,62985538,39412101
13--LAC; GUMS; RESINS & OTHER VEGETABLE SAP & EXTRACT,26546349,30018204,27998170,37692097,41576875,50391908,48960953,44623659,50078031,45281448,39078620
92--MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,14288338,18331690,13661169,13765947,19448788,17615161,16931001,20058650,22692683,23109041,35014600
18--COCOA AND COCOA PREPARATIONS,14301247,11607450,23483426,27821047,44486937,49982779,49767820,39919938,35329699,31284793,27596683
89--SHIPS; BOATS AND FLOATING STRUCTURES,15687604,13559120,10450058,16053889,22966349,36137985,33298731,31847675,23849141,28852163,25231247
09--COFFEE; TEA; MATE & SPICES,13827697,15227671,9729837,11173157,14261552,20894298,18934119,14283770,13702701,17407167,22197144
63--TEXTILE ART NESOI; NEEDLECRAFT SETS; WORN TEXT ART,16609587,17201837,20153876,20706099,26143439,19228090,17653905,21934592,23756194,20037997,18921188
57--CARPETS AND OTHER TEXTILE FLOOR COVERINGS,14454676,24432058,13230620,20688253,21153728,22048161,23100387,19872711,17281787,17125680,18905672
51--WOOL & ANIMAL HAIR; INCLUDING YARN & WOVEN FABRIC,25303387,19353961,14810234,15682798,11765260,13292895,11574749,8149643,12296237,8114562,16894890
01--LIVE ANIMALS,19948873,41663913,34794014,36202211,53728742,72567704,82313197,48572061,10244385,6399523,16729257
60--KNITTED OR CROCHETED FABRICS,10206250,10993926,8363726,10954959,11750946,12457534,13192260,14962742,17160088,15802288,13859867
58--SPEC WOV FABRICS; TUFTED FAB; LACE; TAPESTRIES ETC,17011972,17181528,12761585,12625518,12582381,13136173,10391328,14234634,10993768,13680249,12355180
91--CLOCKS AND WATCHES AND PARTS THEREOF,5133571,4157913,3697938,4325755,5708682,7353413,6961793,8709723,21262955,15504365,11534874
11--MILLING PRODUCTS; MALT; STARCH; INULIN; WHT GLUTEN,15348475,9953557,16029225,13385735,13928964,11122777,15175324,33123093,19313502,13073822,9737492
67--PREP FEATHERS; DOWN ETC; ARTIF FLOWERS; H HAIR ART,4767769,12324291,6125006,6614219,6745493,6486563,13539637,7966548,6190531,7234381,7125149
80--TIN AND ARTICLES THEREOF,2297074,4017596,2296380,4048908,2824323,2974930,1719421,1907856,3928046,7103653,6951115
14--VEGETABLE PLAITING MATERIALS & PRODUCTS NESOI,6730390,8583872,39891025,152796979,70893368,18100303,17421198,5052791,6429949,3843470,5432342
50--SILK; INCLUDING YARNS AND WOVEN FABRIC THEREOF,5191520,1884846,593325,702714,920523,557240,488570,317900,464124,717537,5332729
65--HEADGEAR AND PARTS THEREOF,1273059,1864439,952701,1717244,1531613,2063062,3262605,4634485,4836815,4773861,5117241
06--LIVE TREES; PLANTS; BULBS ETC.; CUT FLOWERS ETC.,1705975,2836685,3532622,4184907,4583471,3575612,3745341,4674218,7269741,5471654,4476338
78--LEAD AND ARTICLES THEREOF,4648989,5693143,8621164,4299843,2296614,4091132,4123557,1719789,3133730,2875045,2468004
93--ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,1385116,490172,716579,920379,1166915,752376,1854685,965635,1592503,346244,1590746
46--MFR OF STRAW; ESPARTO ETC.; BASKETWARE & WICKERWRK,5243142,903199,1035610,825412,469069,1465274,946306,208732,97623,206504,819978
45--CORK AND ARTICLES OF CORK,2991419,3235816,3319144,4090133,2668629,1510460,3149090,1589936,906284,538216,561968
66--UMBRELLAS; WALKING-STICKS; RIDING-CROPS ETC; PARTS,1467605,568213,265507,413736,1722036,182023,193657,578925,238498,407412,428019
53--VEG TEXT FIB NESOI; VEG FIB & PAPER YNS & WOV FAB,210746,423338,2627755,2432650,2816499,1163966,593745,237195,462574,377811,240556
