Partner,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Liechtenstein,16183424.00,29259009.00,23482968.00,29267415.00,62346285.00,21972859.00,22055946.00,31102552.00,35475476.00,24575172.00,27744402.00
Bosnia and Herzegovina,20153042.00,34113666.00,21290698.00,26349510.00,21331785.00,15869518.00,38481079.00,46080139.00,27523733.00,29365009.00,27142924.00
Kyrgyzstan,48651043.00,44287417.00,56761574.00,79407764.00,101878738.00,145493810.00,106251152.00,71725049.00,32003481.00,20012459.00,26066859.00
Lao People's Democratic Republic,5464940.00,18346685.00,20321593.00,12644576.00,26084818.00,33494345.00,24400348.00,28713310.00,24584007.00,30878093.00,25671660.00
Swaziland,29002898.00,12120383.00,14552515.00,23582688.00,20075203.00,40226860.00,22681861.00,25679849.00,28521751.00,25610904.00,24073435.00
Palau,13803500.00,14065965.00,14796127.00,14157003.00,16831030.00,16755532.00,18237634.00,20521307.00,25634214.00,25694149.00,19432665.00
Tajikistan,52685573.00,51428157.00,41171507.00,57013199.00,178246296.00,54186972.00,51874112.00,24503388.00,18985373.00,21323840.00,17911115.00
Moldova; Republic of,52668339.00,66237298.00,26644083.00,37813517.00,39569462.00,38267976.00,45602639.00,35188566.00,16163682.00,14996342.00,17614764.00
Tonga,13233104.00,13730360.00,12942138.00,20678902.00,19269574.00,26892624.00,19238838.00,20031820.00,13817538.00,15215855.00,16719457.00
Seychelles,9473317.00,24967766.00,34068446.00,10681706.00,13056829.00,14968779.00,12189931.00,12451133.00,18546349.00,12481272.00,15488847.00
South Sudan, -   , -   , -   , -   ,7361905.00,32540784.00,13417224.00,46148430.00,19613532.00,9739895.00,13574310.00
Central African Republic,19747922.00,23302776.00,31485494.00,10339636.00,12335446.00,8515840.00,4103350.00,32322366.00,34309874.00,9418675.00,11178603.00
Kosovo, -   , -   ,5002266.00,11183045.00,15572116.00,20832234.00,14544129.00,16343893.00,19743318.00,18355903.00,10070786.00
Greenland,4418684.00,34892248.00,7072819.00,8577516.00,7302165.00,15856790.00,19148034.00,12692465.00,8079551.00,4049956.00,9884715.00
Montserrat,4774256.00,8564674.00,5883151.00,4746579.00,6903084.00,8566354.00,8616652.00,9181522.00,6640011.00,9485273.00,9708109.00
Solomon Islands,5438181.00,5246192.00,6020700.00,4953653.00,6056589.00,7254847.00,8933554.00,6599026.00,5861309.00,9898289.00,9303881.00
Montenegro,45306063.00,53185501.00,34787868.00,14554803.00,17673009.00,12397402.00,21683955.00,18179413.00,11133957.00,16711327.00,9148718.00
Cape Verde,5571564.00,12247224.00,6387428.00,9975829.00,11462670.00,7765222.00,9134281.00,7283602.00,7324191.00,8693747.00,9146393.00
Reunion,4753124.00,8446395.00,9448244.00,8214437.00,154882932.00,7566899.00,8774205.00,11072320.00,6905271.00,449559483.00,8376879.00
Burundi,6930327.00,7278372.00,8688287.00,14386303.00,32788844.00,19939674.00,16711425.00,5569408.00,5650192.00,8407312.00,8132760.00
Vanuatu,23948479.00,63755418.00,3903181.00,18940232.00,5152275.00,99515739.00,34439495.00,21196729.00,5867876.00,7813525.00,7762425.00
Syrian Arab Republic,361420332.00,408864143.00,303870805.00,503311144.00,230164836.00,19471324.00,21644824.00,6845935.00,3072304.00,3490887.00,6961023.00
Cook Islands,2393727.00,2790773.00,1963686.00,3858635.00,4604318.00,5504221.00,4869141.00,5325025.00,4249826.00,4650187.00,5243873.00
Eritrea,6112826.00,14872461.00,6735077.00,2384567.00,4308872.00,5863859.00,13476312.00,5327596.00,3497538.00,3047902.00,5021254.00
Kiribati,1149509.00,7347540.00,824672.00,3977797.00,17667015.00,4605948.00,6983607.00,3293815.00,7320835.00,1148626.00,4928546.00
Guinea Bissau,6615356.00,2076775.00,1511184.00,3401580.00,11838657.00,21095196.00,6643733.00,2904280.00,2135320.00,3549712.00,3751655.00
Andorra,14463888.00,15723474.00,9426362.00,7682080.00,5161272.00,2238367.00,5796907.00,3789433.00,3336817.00,2830268.00,3285167.00
Sao Tome and Principe,8414824.00,3268944.00,4018129.00,1358738.00,6123966.00,870234.00,1998050.00,1088495.00,853963.00,1994248.00,3140792.00
French Southern Territories,392357.00,4238293.00,963568.00,588625.00,1425658.00,1239070.00,1749592.00,8251616.00,8026602.00,4912096.00,2842721.00
East Timor,10930555.00,5042480.00,2350110.00,4325772.00,8146198.00,1143436.00,1365128.00,1286987.00,2690584.00,1617009.00,2565401.00
West Bank,13009291.00,290252.00,620793.00,714402.00,1145816.00,1521509.00,894527.00,1755072.00,859737.00,1169369.00,2192360.00
San Marino,13890976.00,9328760.00,8132793.00,3990083.00,2009836.00,1347152.00,1873295.00,5977212.00,5011879.00,4653976.00,2109451.00
Faroe Islands,2800199.00,14339798.00,9870000.00,2129580.00,3560628.00,1627283.00,2453563.00,2470184.00,2336863.00,2582134.00,2034537.00
Svalbard and Jan Mayen Island,926112.00,2204770.00,868604.00,7674628.00,2052453.00,125458.00,1633247.00,3394498.00,380164.00,97888.00,1986719.00
Lesotho,7525706.00,1339723.00,16630440.00,11330245.00,13181171.00,16514237.00,571144.00,2449565.00,881897.00,2839262.00,1901616.00
Comoros,367032.00,411481.00,1631394.00,1259238.00,1095278.00,954373.00,3491014.00,3452794.00,1507078.00,1349892.00,1375097.00
Tokelau Islands,55422404.00,39335534.00,12926185.00,3938459.00,4886393.00,13422094.00,828055.00,1387753.00,341222.00,2474242.00,1162557.00
Vatican City,18266111.00,9275122.00,7351678.00,3193465.00,2291281.00,4803261.00,2467299.00,2573365.00,2226547.00,825344.00,1146853.00
Tuvalu,51512.00,130423.00,151784.00,620945.00,724161.00,612146.00,560260.00,591900.00,625636.00,1139541.00,796156.00
Saint Helena,3279597.00,2034633.00,2893506.00,692094.00,1901890.00,4847886.00,2866797.00,489827.00,3720487.00,746138.00,587754.00
Gaza Strip,4634860.00,61183.00,22823.00,1830513.00,47297.00,105165.00,178138.00,169040.00,183934.00,169843.00,555101.00
Mayotte,243119.00,57814.00,1168097.00,6282489.00,4572023.00,11610143.00,8520110.00,12087472.00,5697333.00,2829427.00,493107.00
Falkland Islands (Malvinas),973369.00,805502.00,2356305.00,2718134.00,3957498.00,4347073.00,1241492.00,7845600.00,2917708.00,1484575.00,482089.00
Christmas Island,2544078.00,12981567.00,925955.00,1750269.00,1486081.00,4053949.00,466894.00,168931.00,1551179.00,1143404.00,476695.00
Cocos (Keeling) Islands,1231015.00,966209.00,1440652.00,728118.00,957218.00,932610.00,22169095.00,6040796.00,557620.00,779466.00,452079.00
Western Sahara,344442.00,91132.00,158569.00,53902.00,31131.00,58850.00,156076.00,276987.00,32113.00,93983.00,418356.00
Saint Pierre and Miquelon,221553.00,400795.00,135133.00,14691.00,118559.00,179852.00,261629.00,4364.00,227459.00,62460.00,390569.00
Wallis and Futuna,212545.00,706910.00,535497.00,778132.00,338897.00,602240.00,637535.00,350213.00,376841.00,225156.00,300526.00
Nauru,8140371.00,11240397.00,3687213.00,2492127.00,499196.00,2208920.00,758585.00,812299.00,1733650.00,494811.00,198927.00
Norfolk Island,1527492.00,3952840.00,864840.00,661175.00,1043984.00,1228303.00,1730958.00,829925.00,350312.00,122379.00,138341.00
Heard Island and Mcdonald Islands,1721670.00,308427.00,7113037.00,3654960.00,365259.00,499782.00,504268.00,1180334.00,913419.00,297004.00,125829.00
Niue,1662323.00,509662.00,1209612.00,1570975.00,716169.00,771748.00,249064.00,111564.00,71371.00,75803.00,86722.00
North Korea,1728160.00,52151230.00,856793.00,2867073.00,9405834.00,11952220.00,6582817.00,24028661.00,4751721.00,118494.00,2660.00
Pitcairn Islands,1894797.00, -   ,568212.00,3683.00,15696.00,40527.00, -   ,55591.00,17405.00,51658.00,1431.00
Serbia and Montenegro, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Countries,441208607.00,182997431.00,233738869.00,375897966.00,225387686.00,175000278.00,179871109.00,101833.00, -   ,1771484.00, -   
Netherlands Antilles,2082020131.00,2951625832.00,2055809980.00,2943154831.00,1187093257.00, -   , -   , -   , -   , -   , -   
East Germany, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
